,Name,Active,Summary
10,Richard Angelo,   Active for 1 year   (1987) in United States," Richard Angelo an American serial killer and former nurse at the Good Samaritan Hospital in West Islip, New York. In 1989, he was convicted of murdering several of his patients and sentenced to 50-years-to-life in prison. "
11,Amy Archer-Gilligan,   Active for 8 years   (1910-1917) in United States," Amy Archer-Gilligan a Windsor, Connecticut, nursing home proprietor and serial killer. Born in October 1873 to James Duggan and Mary Kennedy in Milton, Connecticut, the eighth of ten children. She murdered at least five people by poisoning them. One of her victims was her second husband, Michael Gilligan; the others were residents of her nursing home. In 1924, Archer-Gilligan was declared to be temporarily insane and was transferred to the Connecticut Hospital for the Insane in Middletown, where she remained until her death on April 23, 1962. "
12,John Eric Armstrong,   Active for 8 years   (1992-1999) in United States," John Eric Armstrong an American serial killer and rapist nicknamed Babydoll and Opie. On April 10th 2000, police found the bodies of three strangled prostitutes in a railroad yard in southwest Detroit. Armstrong pleaded guilty to the deaths of Robbin Brown, 20; Rose Marie Felt, 32; and Monica Johnson, 31. Armstrong also pleaded guilty to one assault charge and no contest to another assault charge. A third assault and unarmed robbery case was dismissed as part of a plea bargain. Ultimately, he was sentenced to life in prison for the death of Kelly Jean Hood, 34. All of the victims bodies were found in Detroit, Michigan. "
13,Valery Asratyan,   Active for 3 years   (1988-1990) in Russia," Valery Asratyan (Valery Georgievich Asratyan) a Soviet serial killer rapist and child molester known as The Director. He was known to drug, rape and murder his victims between 1988 and 1990 in Moscow, Russia. Asratyan received his nickname because he posed as film director Svetoslav Chaplygin in order to gain the trust of the young women. He was previously convicted of over twenty rapes of girls and young women during the 1980s. In 1990, he confessed to two murders and admitted to seventeen rapes. Asratyan was convicted of killing two women and was sentenced to death. Valery Asratyan was executed by firing squad in 1992. "
14,Benjamin Atkins,   Active for 2 years   (1991-1992) in United States," Benjamin Atkins an American serial killer and rapist known as The Woodward Corridor Killer. Atkins murdered, tortured and raped eleven women in Highland Park and Detroit, Michigan, during a period of nine months between December 1991 and August 1992. He raped and strangled his victims before abandoning their bodies in vacant buildings in Highland Park and Detroit, Michigan. He was sentenced to eleven life terms in 1994. In 1997, Benjamin Atkins died from an infection caused by HIV while serving his life sentence at the Charles Egeler Reception and Guidance Center in Jackson, Michigan. "
15,Johnny Avalos,   Active for 4 years   (2012-2015) in United States," Johnny Avalos (Johnny Joe Avalos) an American serial killer and rapist known as the San Antonio serial killer. Avalos murdered five women in San Antonio, Texas between 2012 and 2015. He would strangle his victims, raping some after death. His previous charges range from making terroristic threats, criminal mischief and possession of a controlled substance. Avalos confessed to killing Vanessa Lopez in 2012, Natalie Chavez in 2014, Rosemary Perez and Celia Lopez in 2015. He also admitted to attacking Genevieve Ramirez who later died of her injuries in 2015. He was arrested in 2015. On February 19th 2019, Johnny Avalos was sentenced to two terms of life without the possibility of parole. "
16,Dmitry Baksheev,   Active for 19 years   (1999-2017) in Russia," Dmitry Baksheev Dmitry Baksheev, and his wife Natalia Baksheev, accused of serving a stuffed and decorated human head as dinner and pickling human remains in jars after luring their victims from dating sites. The couple were arrested after the dismembered body of a young woman was found in a military academy in Krasnodar where they worked. Police have so far discovered eight frozen body parts. The Couple reportedly admitted the murders and boasted after a phone was found with pictures of a man posing for selfies with dead bodies. Police also discovered a picture dating back to 1999 that apparently showed a human face being prepared as a dish surrounded by oranges. Both reversed the previous confession and denied they were involved in cannibalism or previous killings. "
17,Natalia Baksheev,   Active for 19 years   (1999-2017) in Russia," Natalia Baksheev Natalia Baksheev, and her husband Dmitry Baksheev, accused of serving a stuffed and decorated human head as dinner and pickling human remains in jars after luring their victims from dating sites. The couple were arrested after the dismembered body of a young woman was found in a military academy in Krasnodar where they worked. Police have so far discovered eight frozen body parts. The Couple reportedly admitted the murders and boasted after a phone was found with pictures of a man posing for selfies with dead bodies. Police also discovered a picture dating back to 1999 that apparently showed a human face being prepared as a dish surrounded by oranges. Both reversed the previous confession and denied they were involved in cannibalism or previous killings. "
18,Joe Ball,   Active for 3 years   (1936-1938) in United States," Joe Ball (Joseph Douglas Ball) an American serial killer sometimes referred to as The Alligator Man, Butcher of Elmendor, Bluebeard of South Texas. He is known to have killed two and is said to have killed as many as twenty women in the 1930s. "
19,Francisca Ballesteros,   Active for 15 years   (1990-2004) in Spain," Francisca Ballesteros a Spanish serial killer known as The Black Widow of Valencia and The Poisoner of Melilla. Born in 1969. Poisoned her husband (Antonio González Barribino), daughter (Sandra Barribino) and daughter (Florinda Barribino ). Antonio Barribino, her 12-year-old son was poisoned but survived after eight-months of hospitalization. Florinda was only 5-months-old when she died from poisoning. Francisca Ballesteros used Colme, Zolpidem and Bromazepam to poison her family. Francisca Ballesteros was arrested in 2004 and sentenced to to a term of eighty-four years in prison on September 26th 2005. Barribino later confessed that she was planning on running away with men she talked to on the internet. "
20,Asande Baninzi,   Active for 1 year   (2001) in South Africa," Asande Baninzi a South African serial killer. Baninzi claimed eighteen lives between June and August 2001. Baninzi was convicted of fourteen murders, four rapes and two armed robberies. In addition to nineteen life sentences, Asande Baninzi was sentenced to 189 years' imprisonment. "
21,Bai Baoshan,   Active for 15 years   (1983-1997) in China," Bai Baoshan a Chinese serial killer who sought revenge on the authorities after serving thirteen years in prison. Bai raided multiple police stations killing police officers, civilians and one of his accoplices. He was arrested in 1997, convicted for fourteen murders and senteced to death. Bai Baoshan was publicly executed by gunshot in 1998. "
22,Velma Barfield,   Active for 8 years   (1971-1978) in United States," Velma Barfield an American serial killer convicted of one murder, but she eventually confessed to four murders in total. Barfield suffered from multiple personality disorder. Lewis testified that she had spoken to Barfield's other personality, ""Billy"", who told her that Velma had been a victim of sexual abuse, and that he, Billy, had killed her abusers. The judge was unconvinced. ""One of them did it"" Lewis quoted him as saying. ""I don't care which one."" Barfield was executed on November 2, 1984 at Central Prison in Raleigh, North Carolina. "
23,Cesar Barone,   Active for 3 years   (1991-1993) in United States," Cesar Barone (Cesar Francesco Barone) (born Adolph James Rode) an American serial killer who assaulted, raped and murdered four women in the Portland area between 1991 and 1993. In 1990, Barone was kicked out of the army after he exposed himself to a female officer, his superiors also learned that he had changed his identity and had spent several years in prison prior to joining the army. Barone was arrested in 1993 and sentenced to death in 1995. He met serial killer Ted Bundy while they were both inmates at Florida State Prison. In 2009, Cesar Barone died of natural causes at the Oregon State Penitentiary in Salem, Oregon. "
24,Juana Barraza,   Active for 9 years   (1998-2006) in Mexico," Juana Barraza a Mexican professional wrestler and female serial killer known as La Mataviejitas (The Old Lady Killer) and La Dama del Silencio (The Lady of Silence). Barraza killed by bludgeoning or strangling elderly women to rob them, forty-two to forty-nine total victims. She was found guilty on sixteen charges of murder and aggravated burglary, including eleven separate counts of murder. Barraza's mother, Justa Samperio, was an alcoholic who reportedly exchanged her for three beers to a man who repeatedly raped her in his care. Juana Barraza was sentenced to 759 years in 2008. "
25,Jürgen Bartsch,   Active for 5 years   (1962-1966) in Germany," Jürgen Bartsch (born Karl-Heinz Sadrozinski) a German serial killer who murdered four boys aged between 8 and 13. Killed four, one escaped; died by wrongful overdose during castration surgery. "
26,Elizabeth Bathory,   Active for 20 years   (1590-1609) in Slovakia," Elizabeth Bathory Countess Elizabeth Báthory de Ecsed a Hungarian noblewoman and serial killer from the Báthory family of nobility in the Kingdom of Hungary. She has been labelled by Guinness World Records as the most prolific female murderer, though the precise number of her victims is unknown. Báthory and four collaborators were accused of torturing and killing hundreds of young women between 1585 and 1609. She is often compared with Vlad the Impaler of Wallachia (on whom the fictional Count Dracula is partly based), having contributed some of the mythos to the Dracula legend herself. Nicknames and literary epithets attributed to her include The Blood Countess and Countess Dracula. "
27,Herb Baumeister,   Active for 7 years   (1990-1996) in United States," Herb Baumeister (Herbert Richard Baumeister) an American serial killer known as the I-70 Strangler after a series of murders of at least nine men along Interstate 70. Baumeister strangled gay men and buried their bodies in his 18-acre backyard at Fox Hollow Farm in Indiana. Police found eleven men buried on his property but only eight were identified. Baumeister fled to Ontario, Canada, when faced with arrest, committing suicide, by shooting himself in the head, at the Pinery Provincial Park in Lambton Shores, Canada. "
28,Levi Bellfield,   Active for 3 years   (2002-2004) in United Kingdom," Levi Bellfield (born Levi Rabetts) an English serial killer known as the Bus Stop Stalker and Yusuf Rahim. Bellfield was convicted of the 2002 murder of Amanda Dowler and two fatal hammer attacks on young women in South West London in 2003 and 2004. He would stalk his victims and kill them with a hammer, at least one of his victims was ran over by Bellfield's van. Levi Bellfield was sentenced to life in 2008 and 2011. He converted to Islam in prison and changed his name to Yusuf Rahim. HMP Frankland is also where fellow serial killer Peter Sutcliffe, Harold Shipman and notorious jailbird Charles Bronson served their time. "
29,Robert Berdella,   Active for 4 years   (1984-1987) in United States," Robert Berdella (Robert Andrew Berdella Jr.) an American serial killer known as The Kansas City Butcher and The Collector. Berdella abducted, raped tortured and murdered at least six men between 1984 and 1987. He would hold victims captive for periods of up to six weeks. Berdella dissected his victims' bodies and dispose of the body parts in garbage bags. His last victims escaped and alerted the police. Berdella was found guilty of six murders in 1988 and was sentenced to life imprisonment. He died of a heart attack while incarcerated at the Missouri State Penitentiary in 1992. "
30,David Berkowitz,   Active for 2 years   (1976-1977) in United States," David Berkowitz an America serial killer known as The Son of Sam and the .44 Caliber Killer. Berkowitz would shoot couples in their cars, killing six and wounding seven. He claimed that the neighbor's dog, Harvey, was possessed by an ancient demon, and that it issued commands to Berkowitz to kill. F.B.I. agent Robert Ressler was later told by Berkowitz that he killed out of resentment toward his mother and his inability to establish good relationships with women. "
31,Manuel Octavio Bermudez,   Active for 5 years   (1999-2003) in Colombia," Manuel Octavio Bermudez (Manuel Octavio Bermúdez Estrada) a Colombian rapist pedophile and serial killer known as El Monstruo de los Cañaduzales (The Monster of the Cane Fields). Bermudez confessed to murdering twenty-one children in remote areas of Colombia, only seventeen of bodies were officially found. Police searched a room he rented in El Cairo and found newspaper clippings of the murders, syringes, Lidocaine, and the wristwatch of one of his victims. Bermúdez is suspected of killing over fifty children in several towns of Valle del Cauc between 1999 and 2003. Manuel Octavio Bermudez was sentenced to forty years imprisonment at a unknown prison in Colombia. "
32,Paul Kenneth Bernardo,   Active for 3 years   (1990-1992) in Canada," Paul Kenneth Bernardo a Canadian serial killer and rapist known as the Schoolgirl Killer, the Scarborough rapist and Paul Jason Teale. Bernardo raped and murdered at least three minors between 1990 and 1992. Bernardo attacked most of his victims after stalking them as they got off of public transportation buses in Scarborough, Canada. Bernardo gained worldwide media attention when he raped tortured and murdered two Ontario teenage girls with the assistance of his wife, Karla Homolka. Homolka and Bernardo were arrested in 1993. In 1995, Paul Kenneth Bernardo was convicted of a number of offenses, including the two first-degree murders, and was sentenced to life in prison without parole for at least twenty-five years. "
33,Kenneth Alessio Bianchi,   Active for 2 years   (1977-1978) in United States," Kenneth Alessio Bianchi an American serial killer kidnapper and rapist known as the Hillside Stranglers. Bianchi was convicted of strangling twelve females between the ages of 12 and 28, he is also suspected in another three cases. Kenneth Alessio Bianchi is one of the Hillside Stranglers the other is his cousin, Angelo Buono. Bianchi is also a suspect in the alphabet murders, three unsolved murders in his home city of Rochester, New York. He was known to kidnap, rape and torture victims prior to murdering them. Kenneth Alessio Bianchi was convicted and sentenced to life imprisonment on October 21st 1983. Bianchi is serving his sentence at Washington State Penitentiary in Walla Walla, Washington. "
34,Richard Biegenwald,   Active for 26 years   (1958-1983) in United States," Richard Biegenwald an American serial killer known as The Thrill Killer. Biegenwald killed at least nine people in Monmouth County, New Jersey between 1958 and 1983. He is suspected in at least two other murders. Biegenwald was sentenced to death, his sentence was commuted to four terms of life at the New Jersey State Prison in Trenton, New Jersey. In 2008, Richard Biegenwald died of natural causes at the St. Francis Medical Center in Trenton, New Jersey. "
35,Mohammed Bijeh,   Active for 1 year   (2004) in Iran," Mohammed Bijeh an Iranian serial killer and rapist known as the Tehran Desert vampire and the hyenas. Bijeh raped and killed at least sixteen boys and teenagers with an accomplice named Ali Baghi (Ali Gholampour). The pair would stun their victims with blows from a stone to the head, they raped and buried the bodies in a shallow grave. They allegedly placed dead animals near the graves to cover up the smell of the rotting corpses. In 2005, Bijeh was executed after being lashed a hundred times in front of a crowd. In 2004 early in the case police officers were arrested on charges of derailing the investigations by refusing to identify the murderers earlier at Tehran Police's Bureau of Investigation. "
36,Donato Bilancia,   Active for 2 years   (1997-1998) in Italy," Donato Bilancia an Italian serial killer and burglar known as The Monster of Liguria, The Ligurian Monster and the Prostitutes Killer. Bilancia murdered seventeen people, mainly prostitutes, between 1997 and 1998. Bilancia was sentenced to thirteen terms of life imprisonment plus an additional twenty years imprisonment for the attempted murder of the prostitute who survived. "
37,Jake Bird,   Active for 18 years   (1930-1947) in United States," Jake Bird an American serial killer and rapist known as The Tacoma Ax-Killer.Bird had an extensive criminal record including burglary and attempted murder. Bird was arrested in 1947 and was sentenced to death for the murders of two victims. In 1948, Bird was scheduled for execution but it was postponed when he confessed to a total of forty-six murders. Eleven of the forty-six victims were substantiated and he was considered a prime suspect in the remaining crimes. In 1949, Jake Bird was executed by public hanging at Washington State Penitentiary in Walla Walla, Washington. "
38,Anatoly Biryukov,   Active for 1 year   (1977) in Russia," Anatoly Biryukov (Anatoliy Nikolaevich Biryukov) a Soviet serial killer and child rapist known as The Baby Hunter. Biryukov was convicted for kidnapping, raping and subsequent murder of five infants from Moscow in the fall of 1977. Biryukov abducted his victims and committed violent sexual intercourse with the infants before murdering and discarding the body. He committed acts of necrophilia on at least one of his victims. In 1977, Biryukov attempted a kidnapping when he was chased by Chekhov citizens which later led to his arrest. He was sentenced to death for the five murders in 1978. Biryukov attempted multiple failed suicides while awaiting execution. In 1979, Anatoly Biryukov was executed by firing squad. "
39,Arthur Gary Bishop,   Active for 5 years   (1979-1983) in United States, Arthur Gary Bishop Utah man who murdered five young boys; executed in 1988. 
40,Lawrence Bittaker,   Active for 1 year   (1979) in United States," Lawrence Bittaker (Lawrence Sigmund Bittaker) an American serial killer and rapists who along with his accomplice, Roy Lewis Norris are known as the Tool Box Killers. In 1979, Bittaker and Norris kidnapped, raped tortured and murdered five teenage girls over a period of five months in southern California. Bittaker and Norris used standard tools such as pliers, ice picks and sledgehammers to torture and murder their victims. Bittaker was sentenced to death for five of the murders in 1981. Lawrence Bittaker is currently incarcerated on death row at San Quentin State Prison in San Quentin, California. "
41,John Bittrolff,   Active for 2 years   (1993-1994) in United States," John Bittrolff a suspected American serial killer who is a suspect in the Long Island Serial Killer, LISK case. Bittrolff was convicted of killing two sex workers and is a suspect in the death of a third. The victims were strangled bludgeoned, posed nude with their legs apart and one or both arms above their head. Police were led to Bittrolff through the DNA of his brother, after the DNA linked him to semen recovered from the victims bodies. John Bittrolff was sentenced to two consecutive twenty-five years to life sentences in 2017. "
42,Robert Black,   Active for 6 years   (1981-1986) in United Kingdom," Robert Black a Scottish serial killer and pedophile known as the M1 Maniac and Smelly Bob. Black was convicted of kidnapping, raping and murdering four girls in the United Kingdom from 1981 to 1986. He was a possible suspect in several other earlier unsolved child murder cases in the UK and other European countries. He was found guilty on all counts and sentenced to a life term for each murder. Black died of a myocardial infarction weeks before he was to be charged with a fifth child murder. "
43,Terry Blair,   Active for 23 years   (1982-2004) in United States," Terry Blair (Terry A. Blair ) an American serial killer who raped and killed at least seven women in Kansas City, Missouri between 1982 and 2004. In 1982, Blair murdered the mother of his two children, she was pregnant at the time of her death. He was sentenced to twenty-five years imprisonment and was released on parole after serving twenty-one years. In 2004, Blair was charged with eight counts of murder, two counts were later dropped due to lack of evidence. A 911 call claimed responsibility for the murders. The caller stated that they were all prostitutes and scum which is why they were killed. Blair's semen was found on at least one of his victims. In 2008, Terry Blair was sentenced to six life sentences for the six murders in 2004. "
44,Daniel Blank,   Active for 2 years   (1996-1997) in United States," Daniel Blank (Daniel Joseph Blank) an American serial killer who killed at least six people from 1996 to 1997. In 1997, Blank was arrested on three charges of first-degree murder. He has a learning disability that hampers his verbal abilities and understanding of abstract concepts. Blank was diagnosed as having schizo-affective paranoia disorder. He confessed to six murders, including a double bludgeoning of an elderly couple. Blank was sentenced to death in 1999, his sentence was commuted to life in 2000. In 2001, Daniel Blank was sentenced to life in prison without parole. "
45,Elfriede Blauensteiner,   Active for 15 years   (1981-1995) in Austria," Elfriede Blauensteiner an Austrian serial killer known as The Black Widow. Blauensteiner poisoned at least three victims to inherited their possessions. She was sentenced to life imprisonment in 1997. Harald Schmidt, her former lawyer, got seven years for helping with the crime and forging the victim's will. In 2003, Elfriede Blauensteiner died from a brain tumor in a Vienna hospital in Austria. "
46,Wayne Boden,   Active for 4 years   (1968-1971) in Canada," Wayne Boden (Wayne Clifford Boden) a Canadian serial killer and rapist known as the vampire rapist . Boden killed four women between 1968 and 1971 in Montreal and Calgary, Canada. He would rape and strangle his victims. He was known to bite the breasts of at least three of his victims. Boden was the first murderer to be convicted in North America based on odontological evidence. Boden received four life sentences in 1972. In 2006, Wayne Boden died from skin cancer at Kingston General Hospital after being confined in the hospital for six weeks. "
47,William Bonin,   Active for 2 years   (1979-1980) in United States, William Bonin an American serial killer who was known as the Freeway Killer. Bonin and three accomplices are known to have murdered a minimum of 21 youths aged between 12 and 19 in and around Los Angeles. As the majority of his victims were discarded alongside various southern California freeways. Randy Steven Kraft and Patrick Wayne Kearney also share the nickname the Freeway Killer. Bonin was convicted of 14 of the freeway murders and was executed in 1996. 
48,Nicolai Bonner,   Active for 1 year   (2005) in Israel," Nicolai Bonner a Moldovan-born Israeli serial killer and rapist known as the Haifa serial killer and The Homeless Murderer. In 2005, Bonner beat or stabbed to death four fellow immigrants from the former Soviet Union. Three of his victims were homeless vagrants in the industrial area of Haifa, Israel. He drank alcohol with the three victims prior to murdering them in an abandoned building by the Haifa market. Two of his victims were male and two were female. Bonner set three of his victims bodies on fire and attempted to set fire to the fourth victims body. Nicolai Bonner was sentenced to life imprisonment in 2007. "
49,Ali Asghar Borujerdi,   Active for 28 years   (1907-1934) in Iraq," Ali Asghar Borujerdi an Iranian serial killer and rapist known as Asghar the Murderer, Ashare Qatel. Borujerdi was the son of a famous road thief, Ali Miza Borujerdi. As as a child, he started assaulting, raping, and later murdering, adolescent boys in Baghdad when he was fourteen years old. Borujerdi was convicted of killing thirty-three young boys in Iraq and Iran, eight in Tehran and twenty-five in Baghdad. Borujerdi was convicted and after an unsuccessful appeal, he was sentenced to death. In 1934, Ali Asghar Borujerdi was executed by public hanging in front of a crowd in Tehran's Sepah Square. "
50,Dallen Bounds,   Active for 1 year   (1999) in United States," Dallen Bounds (Dallen Forrest Bounds) an American serial killer who killed four victims in South Carolina. On June 26th 1999, when he tied a Radio Shack employee, Jonathan Lemuel Lara, with flex ties to a chair in the back room of a Radio Shack in Greenville. Lara was stabbed in the neck with a screwdriver and subsequently died. After killing Sandra Ott and her neighbor, he barricaded himself with two women and committed suicide on December 23rd 1999. Investigators later said Bounds was likely stalking Sandra Ott, who they identified as his girlfriend. Casandra Laster, who lived with Bounds, was found guilty of accessory after the fact of felony murder in 2001, sentenced to fifteen years in prison, Laster has since been released. "
51,Gary Ray Bowles,   Active for 1 year   (1994) in United States," Gary Ray Bowles an American serial killer who beat and strangled six men to death to steal their credit cards in 1994. Bowles became a suspect after police found his fingerprints and probation records at a crime scene. Bowles murdered five other men in Nassau County, Florida; Jacksonville, Florida; Savannah, Georgia; Atlanta, Georgia; and Wheaton, Maryland. Bowles was placed on the FBI's 10 Most Wanted Fugitive List. Gary Ray Bowles was arrested in 1994 and sentenced to death in 1996. "
52,Lucious Boyd,   Active for 7 years   (1993-1999) in United States," Lucious Boyd a suspected American serial killer and rapist also known as Lucilous Boyd and Lucifer. Boyd was convicted and sentenced to death for a 1998 murder. He was known to kidnap, rape stab and murder his victims. The victim from 1998 had been raped and stabbed thirty-six times with a screwdriver. Authorities recovered blood while searching his apartment, the blood was matched to one of his victims. Authorities suspect Boyd of at least ten other homicides or disappearances. Lucious Boyd was sentenced to death in 2002. He is currently on death row awaiting execution at the Union Correctional Institution in Raiford, Florida. "
53,Ian Brady,   Active for 3 years   (1963-1965) in United Kingdom," Ian Brady (born Ian Duncan Stewart) a Scottish rapist and serial killer who along with his girlfriend, Myra Hindley, are known for committing the Moors murders. The Moors murders were carried out in England between 1963 and 1965. Five children were abducted and at least four were sexually assaulted. The victims were male and female children aged between 10 and 17. Brady was sentenced to three terms of life imprisonment in 1966. Ian Brady was the longest-serving prisoner in British legal history until the record was broken by fellow serial killer John Straffen. "
54,Gregory Brazel,   Active for 9 years   (1982-1990) in Australia," Gregory Brazel (Gregory John Brazel) an Australian serial killer arsonist, and armed robber also known as Bluey. Brazel was dishonorably discharged after holding five privates hostage in an army exercise in Healesville, Australia. He was persuaded to release the hostages and no one was harmed. He killed three female victims between 1982 and 1990. Brazel fatally shot a female hardware store owner in a 1982 armed robbery and murdered two female prostitutes in 1990. Gregory Brazel is currently serving three consecutive life sentences at Her Majesty's Prison Barwon in Lara, Victoria, Australia. He will be eligible for parole in 2020. "
55,Mary Ann Britland,   Active for 1 year   (1886) in United Kingdom," Mary Ann Britland (born Mary Ann Hague) an English serial killer. Britland murdered her daughter, her husband, and the wife of her lover with a mouse poison named Harrisons Vermin Killer. Using this product lead to her arrest as she was required to sign the poison register. Mary Ann Britland was executed in 1886 by hanging at Strangeways Prison, now HM Prison Manchester in Strangeways, Manchester, Engand. "
56,Debra Brown,   Active for 1 year   (1984) in United States," Debra Brown (Debra Denise Brown) an American serial killer along with accomplice Alton Coleman, who committed a crime spree across six states in the Midwest where eight people were murdered between May and July 1984. Brown is borderline intellectually disabled, as well as diagnosed with dependent personality disorder. She is serving her sentence at the Dayton Correctional Institution in Dayton, Ohio. In 2018, Indiana attorney general's office signed an agreement withdrawing a demand for Debra Brown's execution. "
57,Robert Browne,   Active for 26 years   (1970-1995) in United States," Robert Browne a self-professed serial killer serving a double-life sentence in the Florida State Prison. Though many claims made by Browne remain uncorroborated, his claims, if true, of killing 48 people. Browne instigated a new investigation by sending a cryptic letter to the authorities in 2000. The letter read, ""Seven sacred virgins entombed side by side, those less worthy are scattered wide, the score is you 1, the other team 48.” The letter included a hand-drawn map with outlines of 8 States, with a number written inside each state. "
58,Jerome Jerry Brudos,   Active for 2 years   (1968-1969) in United States," Jerome Jerry Brudos an American serial killer who was known as the Lust Killer and the Shoe Fetish Slayer. Brudos was as electronics technician who bludgeoned and strangled four young women while dressed up in women's clothing. Brudos charged with three counts of first degree murder for the murders of Jan Whitney, Linda Salee, and Karen Sprinker. Brudos decided to revoke his plea of NGRI and plead guilty. Brudos was sentenced to three consecutive life sentences (no death penalty in Oregon). Brudos was one of six killers (Edmund Kemper, Ted Bundy, Ed Gein, Gary M. Heidnik, Gary Ridgway and Brudos) who served as an inspiration for the character of Buffalo Bill in Thomas Harris' 1988 novel The Silence of the Lambs and its film adaptation. "
59,Peter Bryan,   Active for 12 years   (1993-2004) in United Kingdom," Peter Bryan an English serial killer cannibal and diagnosed paranoid schizophrenic. Bryan was preventively detained in a mental institution, Rampton Hospital, after killing a shop assistant with a hammer in 1993. Bryan was transferred to an open psychiatric ward at Newham General Hospital after psychiatrists noted his continued improvement. Upon his transfer in 2004, Bryan killed a friend and later confessed to dismembering the body and cooking the brain in butter and eating them. Bryan was held at Belmarsh prison and later transferred to Broadmoor Hospital where he killed a fellow mental patient, declaring that he did not eat him solely because he was caught first. In 2005, Peter Bryan was sentenced to life in prison at Broadmoor Hospital in Berkshire, England. "
